Date,Daily Return,,,,,,
2002-07-31,0.012389581,,,,,,
2002-08-01,0.005694955,,,,,,
2002-08-02,0.010241045,,,,,,
2002-08-05,0.004412567,,,,,,
2002-08-06,-0.008549601,,,,,,
2002-08-07,0.002395536,,,,,,
2002-08-08,0,,,,,,
2002-08-09,0.014097402,,,,,,
2002-08-12,0.006126957,,,,,,
2002-08-13,0.012295328,,,,,,
2002-08-14,0.003817661,,,,,,
2002-08-15,-0.008758425,,,,,,
2002-08-16,-0.01115976,,,,,,
2002-08-19,0.003056038,,,,,,
2002-08-20,0.011134018,,,,,,
2002-08-21,-0.005332382,,,,,,
2002-08-22,-0.008738812,,,,,,
2002-08-23,0.009873782,,,,,,
2002-08-26,0.000932138,,,,,,
2002-08-27,-0.006280724,,,,,,
2002-08-28,0.005033398,,,,,,
2002-08-29,0.00803525,,,,,,
2002-08-30,0.006007456,,,,,,
2002-09-03,0.015373546,,,,,,
2002-09-04,-0.000227524,,,,,,
2002-09-05,0.005453597,,,,,,
2002-09-06,-0.011751322,,,,,,
2002-09-09,-0.001486592,,,,,,
2002-09-10,0.004809116,,,,,,
2002-09-11,-0.00524136,,,,,,
2002-09-12,0.007789438,,,,,,
2002-09-13,0.009207691,,,,,,
2002-09-16,0.001689427,,,,,,
2002-09-17,0.00191172,,,,,,
2002-09-18,0.000224338,,,,,,
2002-09-19,0.006732261,,,,,,
2002-09-20,-0.004680079,,,,,,
2002-09-23,0.008957518,,,,,,
2002-09-24,0.006438445,,,,,,
2002-09-25,-0.012131813,,,,,,
2002-09-26,-0.002343334,,,,,,
2002-09-27,0.00749664,,,,,,
2002-09-30,0.003998321,,,,,,
2002-10-01,-0.012403201,,,,,,
2002-10-02,0.005734198,,,,,,
2002-10-03,-0.002459883,,,,,,
2002-10-04,0.003137796,,,,,,
2002-10-07,0.001675739,,,,,,
2002-10-08,0.000334571,,,,,,
2002-10-09,0.005128992,,,,,,
2002-10-10,-0.007875945,,,,,,
2002-10-11,-0.011850765,,,,,,
2002-10-14,-0.001471521,,,,,,
2002-10-15,-0.023681861,,,,,,
2002-10-16,0.000464029,,,,,,
2002-10-17,-0.012181084,,,,,,
2002-10-18,0.002582953,,,,,,
2002-10-21,-0.009722661,,,,,,
2002-10-22,-0.002838557,,,,,,
2002-10-23,0.000356348,,,,,,
2002-10-24,0.008775038,,,,,,
2002-10-25,0.003643271,,,,,,
2002-10-28,-0.001404481,,,,,,
2002-10-29,0.013018361,,,,,,
2002-10-30,-0.000346737,,,,,,
2002-10-31,0.004516382,,,,,,
2002-11-01,-0.004181214,,,,,,
2002-11-04,-0.00441894,,,,,,
2002-11-05,-0.003855094,,,,,,
2002-11-06,0.003987731,,,,,,
2002-11-07,0.024762517,,,,,,
2002-11-08,0.008093591,,,,,,
2002-11-11,0.005426782,,,,,,
2002-11-12,-0.005734969,,,,,,
2002-11-13,0.002149021,,,,,,
2002-11-14,-0.020767297,,,,,,
2002-11-15,0.004033818,,,,,,
2002-11-18,0.004477185,,,,,,
2002-11-19,0.003656897,,,,,,
2002-11-20,-0.009792897,,,,,,
2002-11-21,-0.009659436,,,,,,
2002-11-22,-0.000929393,,,,,,
2002-11-25,-0.001858781,,,,,,
2002-11-26,0.012575136,,,,,,
2002-11-27,-0.022539319,,,,,,
2002-11-29,0.006470998,,,,,,
2002-12-02,0.000927857,,,,,,
2002-12-03,0.001407808,,,,,,
2002-12-04,0.005154582,,,,,,
2002-12-05,0.002563978,,,,,,
2002-12-06,0.001742972,,,,,,
2002-12-09,0.005570949,,,,,,
2002-12-10,0.002654314,,,,,,
2002-12-11,0.006676229,,,,,,
2002-12-12,-0.000914911,,,,,,
2002-12-13,-0.009727661,,,,,,
2002-12-16,-0.007511442,,,,,,
2002-12-17,0,,,,,,
2002-12-18,0.007801311,,,,,,
2002-12-19,0.008896522,,,,,,
2002-12-20,0.000687095,,,,,,
2002-12-23,0.000229042,,,,,,
2002-12-24,0.0056075,,,,,,
2002-12-26,0.001932952,,,,,,
2002-12-27,0.011015436,,,,,,
2002-12-30,0.002358106,,,,,,
2002-12-31,-0.002522044,,,,,,
2003-01-02,-0.025855189,,,,,,
2003-01-03,0.002318028,,,,,,
2003-01-06,-0.002660159,,,,,,
2003-01-07,0.003594805,,,,,,
2003-01-08,0.004967029,,,,,,
2003-01-09,-0.019197828,,,,,,
2003-01-10,0.002579628,,,,,,
2003-01-13,0.001636547,,,,,,
2003-01-14,0.003501124,,,,,,
2003-01-15,0.004885071,,,,,,
2003-01-16,0.00138929,,,,,,
2003-01-17,0.004969006,,,,,,
2003-01-21,0.00575024,,,,,,
2003-01-22,0.004917837,,,,,,
2003-01-23,-0.00489377,,,,,,
2003-01-24,0.005946351,,,,,,
2003-01-27,-0.003637372,,,,,,
2003-01-28,0,,,,,,
2003-01-29,-0.00547635,,,,,,
2003-01-30,0.00745757,,,,,,
2003-01-31,0.002731844,,,,,,
2003-02-03,0.001459104,,,,,,
2003-02-04,0.004437923,,,,,,
2003-02-05,-0.008609945,,,,,,
2003-02-06,0.008113472,,,,,,
2003-02-07,0.00226652,,,,,,
2003-02-10,-0.007011367,,,,,,
2003-02-11,-0.000227815,,,,,,
2003-02-12,0.003530682,,,,,,
2003-02-13,0.005449603,,,,,,
2003-02-14,-0.008581152,,,,,,
2003-02-18,0.001252995,,,,,,
2003-02-19,0.0068245,,,,,,
2003-02-20,0.00338908,,,,,,
2003-02-21,-0.005854593,,,,,,
2003-02-24,0.004756262,,,,,,
2003-02-25,0.004621502,,,,,,
2003-02-26,0.00695535,,,,,,
2003-02-27,0.00167144,,,,,,
2003-02-28,0.006340872,,,,,,
2003-03-03,0.001220212,,,,,,
2003-03-04,0.000665035,,,,,,
2003-03-05,0.003322242,,,,,,
2003-03-06,-0.003862552,,,,,,
2003-03-07,0.00343455,,,,,,
2003-03-10,0.005190126,,,,,,
2003-03-11,-0.001758286,,,,,,
2003-03-12,0.003631924,,,,,,
2003-03-13,-0.018421344,,,,,,
2003-03-14,0.004915162,,,,,,
2003-03-17,-0.012004945,,,,,,
2003-03-18,-0.00945091,,,,,,
2003-03-19,-0.00738319,,,,,,
2003-03-20,-0.001601594,,,,,,
2003-03-21,-0.01375398,,,,,,
2003-03-24,0.01580432,,,,,,
2003-03-25,-0.001143773,,,,,,
2003-03-26,0.002061601,,,,,,
2003-03-27,0.000686311,,,,,,
2003-03-28,0.002284134,,,,,,
2003-03-31,0.013105305,,,,,,
2003-04-01,-0.002847333,,,,,,
2003-04-02,-0.010422623,,,,,,
2003-04-03,-0.000571497,,,,,,
2003-04-04,-0.002863706,,,,,,
2003-04-07,-0.002297656,,,,,,
2003-04-08,0.008060098,,,,,,
2003-04-09,0.002968817,,,,,,
2003-04-10,-0.004668291,,,,,,
2003-04-11,-0.001601924,,,,,,
2003-04-14,-0.00275032,,,,,,
2003-04-15,0.005400817,,,,,,
2003-04-16,0.004115233,,,,,,
2003-04-17,0.001592856,,,,,,
2003-04-21,-0.002158995,,,,,,
2003-04-22,-0.000569574,,,,,,
2003-04-23,0.002051315,,,,,,
2003-04-24,0.008983694,,,,,,
2003-04-25,0.002254348,,,,,,
2003-04-28,-0.00157363,,,,,,
2003-04-29,-0.00168982,,,,,,
2003-04-30,0.009251863,,,,,,
2003-05-01,0.0004835,,,,,,
2003-05-02,-0.007863159,,,,,,
2003-05-05,0.005321003,,,,,,
2003-05-06,0.004955331,,,,,,
2003-05-07,0.011655342,,,,,,
2003-05-08,0.00243759,,,,,,
2003-05-09,0.000994752,,,,,,
2003-05-12,0.00629249,,,,,,
2003-05-13,0.002194568,,,,,,
2003-05-14,0.015325055,,,,,,
2003-05-15,0.003126779,,,,,,
2003-05-16,0.007308925,,,,,,
2003-05-19,-0.003414458,,,,,,
2003-05-20,0.014774745,,,,,,
2003-05-21,-0.000104737,,,,,,
2003-05-22,0.008863405,,,,,,
2003-05-23,0.002510657,,,,,,
2003-05-27,-0.018049843,,,,,,
2003-05-28,-0.001699564,,,,,,
2003-05-29,0.008726471,,,,,,
2003-05-30,-0.001898584,,,,,,
2003-06-02,-0.007345695,,,,,,
2003-06-03,0.008020062,,,,,,
2003-06-04,0.002970659,,,,,,
2003-06-05,-0.007828485,,,,,,
2003-06-06,0.003625618,,,,,,
2003-06-09,0.006691971,,,,,,
2003-06-10,0.011923922,,,,,,
2003-06-11,-0.001251314,,,,,,
2003-06-12,0.007830548,,,,,,
2003-06-13,0.00673372,,,,,,
